"Age_BP","depth","Betula","Juniperus","Picea","Pinus","Salix","NAP","AP","Method"
6125,5.9,0.77586207,0,0,0.51724138,0.68965517,10.4310345,89.5689655,"measured"
5995,5.8,1.98915009,0,0,1.17540687,0.18083183,11.6636528,88.3363472,"measured"
5865,5.7,2.60416667,0,0,0.43402778,0.78125,11.8923611,88.1076389,"measured"
5735,5.6,2.53623188,0,0,0.54347826,1.44927536,11.5942029,88.4057971,"measured"
5605,5.5,2.16825672,0,0,0.86730269,0.26019081,10.7545533,89.2454467,"measured"
5353.571429,5.4,0.50377834,0,0.08396306,0.16792611,0.08396306,7.30478589,92.6952141,"measured"
5102.142857,5.3,1.36402387,0,0,0.93776641,0.34100597,12.2762148,87.7237852,"measured"
4850.714286,5.2,6.8627451,0,0.08169935,0.49019608,0.40849673,20.0163399,79.9836601,"measured"
4599.285714,5.1,4.73157416,0,0,0.27297543,0.36396724,5.0955414,94.9044586,"measured"
4347.857143,5,2.24358974,0,0,0.16025641,0.08012821,4.32692308,95.6730769,"measured"
4096.428571,4.9,0.64043916,0,0.09149131,0.36596523,0,3.56816102,96.431839,"measured"
3845,4.8,0.75757576,0,0.15151515,0.22727273,0.15151515,6.96969697,93.030303,"measured"
3618.75,4.7,5.02242152,0,0,0.2690583,1.25560538,11.6591928,88.3408072,"measured"
3392.5,4.6,17.8191489,0,0.17730496,0.53191489,0.62056738,4.96453901,95.035461,"measured"
3166.25,4.5,4.66786355,0,0,0.26929982,1.2567325,12.3877917,87.6122083,"measured"
2940,4.4,5.77367206,0,0.07698229,0.15396459,0.15396459,4.15704388,95.8429561,"measured"
2854.0625,4.3,6.60944206,0,0,0.51502146,0.60085837,29.2703863,70.7296137,"measured"
2768.125,4.2,7.25677831,0,0.07974482,0.55821372,0.31897927,38.5167464,61.4832536,"measured"
2682.1875,4.1,4.50530035,0,0.08833922,0.70671378,0.26501767,36.2190813,63.7809187,"measured"
2596.25,4,4.96794872,0,0.08012821,1.04166667,0.48076923,38.0608974,61.9391026,"measured"
2510.3125,3.9,15.2173913,0.09057971,0,0.63405797,1.35869565,26.6304348,73.3695652,"measured"
2424.375,3.8,5.52325581,0,0.07267442,0.72674419,0.21802326,37.7906977,62.2093023,"measured"
2338.4375,3.7,4.59952419,0,0,1.18953212,0.55511499,38.3822363,61.6177637,"measured"
2252.5,3.6,7.14823175,0,0.07524454,0.6772009,1.05342363,36.7193378,63.2806622,"measured"
2166.5625,3.5,3.79562044,0.0729927,0.0729927,1.16788321,0.94890511,44.4525547,55.5474453,"measured"
2080.625,3.4,2.22412318,0,0.1710864,1.19760479,0.3421728,35.6715141,64.3284859,"measured"
1994.6875,3.3,2.28658537,0,0.07621951,0.45731707,0.30487805,37.4237805,62.5762195,"measured"
1908.75,3.2,3.58598207,0,0.16299919,0.48899756,0.24449878,39.6903015,60.3096985,"measured"
1822.8125,3.1,11.1675127,0.07251632,0.07251632,0.29006526,0.79767948,17.2588832,82.7411168,"measured"
1736.875,3,30.9881423,0,0,0.4743083,0.4743083,12.4110672,87.5889328,"measured"
1650.9375,2.9,11.3881962,0,0,0.91438071,0.33250208,10.556941,89.443059,"measured"
1565,2.8,2.69331017,0,0,0.26064292,0.43440487,13.8140747,86.1859253,"measured"
1384,2.7,2.22861251,0,0,0.14378145,0.50323508,12.86844,87.13156,"measured"
1245.25,2.6,1.66251039,0,0,0.08312552,0.4156276,13.0507066,86.9492934,"measured"
1106.5,2.5,1.66805671,0,0.08340284,0.25020851,0.41701418,13.2610509,86.7389491,"measured"
1010,2.4,3.17337461,0,0.07739938,0.77399381,0.69659443,27.7863777,72.2136223,"measured"
965.5,2.3,2.76988636,0.35511364,0.14204545,0.42613636,1.63352273,37.9971591,62.0028409,"measured"
921,2.2,5.23917995,0,0,0.91116173,0.91116173,36.9779803,63.0220197,"measured"
876.5,2.1,2.88978495,0.0672043,0,0.2688172,0.53763441,52.8897849,47.1102151,"measured"
832,2,6.33172746,0,0.06882312,0.34411562,0.68823125,51.0667584,48.9332416,"measured"
787.5,1.9,2.8852459,0.26229508,0,0.45901639,0.19672131,47.4754098,52.5245902,"measured"
743,1.8,5.85284281,0.4180602,0,0.58528428,0.16722408,45.90301,54.09699,"measured"
698.5,1.7,2.90297937,0.30557678,0,0.45836516,0.61115355,57.1428571,42.8571429,"measured"
654,1.6,3.66218236,0.07473842,0.07473842,1.04633782,0.07473842,64.7234679,35.2765321,"measured"
609.5,1.5,3.28707085,0,0.07304602,0.80350621,0.36523009,50.9130752,49.0869248,"measured"
565,1.4,2.44274809,0.45801527,0.07633588,0.61068702,0.15267176,51.2977099,48.7022901,"measured"
520.5,1.3,1.04417671,0.32128514,0,0.40160643,0.64257028,58.4738956,41.5261044,"measured"
476,1.2,4.05315615,0.33222591,0.13289037,0.66445183,0.13289037,56.5448505,43.4551495,"measured"
431.5,1.1,3.75354108,1.62889518,0,1.06232295,0.35410765,55.1699717,44.8300283,"measured"
387,1,2.43204578,0.71530758,0.07153076,1.50214592,0.07153076,65.9513591,34.0486409,"measured"
342.5,0.9,2.09537572,0.14450867,0,1.51734104,0.28901734,65.8959538,34.1040462,"measured"
298,0.8,2.04485488,0.19788918,0,1.18733509,0.13192612,68.6675462,31.3324538,"measured"
253.5,0.7,2.59938838,0.2293578,0.0764526,1.75840979,0.5351682,66.0550459,33.9449541,"measured"
209,0.6,2.52659574,0.53191489,0.13297872,2.2606383,0.33244681,75.4654255,24.5345745,"measured"
164.5,0.5,2.20949264,0,0.49099836,4.09165303,0.16366612,70.7855974,29.2144026,"measured"
120,0.4,3.73134328,0.07462687,2.08955224,4.7761194,0.82089552,63.4328358,36.5671642,"measured"
90,0.3,3.1182016,0.29006526,2.53807107,5.72878898,0.79767948,63.6693256,36.3306744,"measured"
60,0.2,3.80096752,0,2.90255701,6.08154803,1.03662751,63.4416033,36.5583967,"measured"
30,0.1,4.21052632,0,3.08270677,5.71428571,0.45112782,64.2857143,35.7142857,"measured"
0,0,4.70852018,0.11210762,4.48430493,9.52914798,1.56950673,50.4484305,49.5515695,"measured"
