"Depth_mm","Core.Y..mm.","RMean","RABD620","RABD670","RABD715","RABD845","Chla_calibrated","Bphe_calibrated","depth_VT","mean_VT"
11011,21.9999999999996,0.100958601440579,1.00742260504202,1.01476478991597,1.00162267707083,0.990244894357743,7.49211018733735,0.816982657040082,11011,11772
11012,23.0000000000004,0.0996933190876359,1.00720546218487,1.01511668667467,1.00143779111645,0.990639417767107,7.65667293367023,0.868781430787525,11012,11773
11013,23.9999999999994,0.0991944441776724,1.00688695078031,1.0141150180072,1.00173576230492,0.990671340936376,7.18824762779118,0.872972768951564,11013,11774
11014,25.0000000000002,0.100775733493398,1.00682440576231,1.01319480192077,1.00223960384154,0.989731716686674,6.75791321106845,0.74960522532121,11014,11775
11015,25.9999999999994,0.106573650660259,1.0072837454982,1.0135387515006,1.0029849819928,0.988942258103242,6.91875949924013,0.645953615364461,11015,11776
11016,27,0.109129973589436,1.00724277310924,1.01317611044418,1.00332129651861,0.989152391356543,6.74917223620947,0.673542966430074,11016,11777
11017,28.0000000000008,0.106032394957979,1.00740613445378,1.01369537815126,1.00351327731092,0.9888133697479,6.9920051633279,0.629031276667797,11017,11778
11018,28.9999999999998,0.101745657863145,1.00828328931573,1.01420075630252,1.00205442977191,0.989816849939976,7.22834270964229,0.760782757557492,11018,11779
11019,30.0000000000006,0.105678063625453,1.00745135654262,1.01265415366146,1.00226288115246,0.989345450180071,6.50508177642005,0.698890537911407,11019,11780
11020,30.9999999999996,0.108579298919566,1.0071187394958,1.01303297719088,1.00331702280912,0.987959824729892,6.68223669141622,0.516965467081639,11020,11781
11021,32.0000000000004,0.114355637454983,1.00683460984394,1.01278307322929,1.00352078031212,0.987773995198079,6.56537036281102,0.492567062207635,11021,11782
11022,32.9999999999994,0.110148021608649,1.00724683073229,1.01318584633853,1.00261683073229,0.988891387755102,6.75372517815552,0.639274615864786,11022,11783
11023,34.0000000000002,0.105135755102041,1.00706693877551,1.01293489795918,1.00267489795918,0.988747448979592,6.63637043284374,0.620376239015234,11023,11784
11024,34.9999999999995,0.10473024369748,1.00739008403361,1.01398848739496,1.00195857142857,0.988950798319328,7.12907622444223,0.647074899197832,11024,11785
11025,36,0.100979175270108,1.00810888355342,1.01390420168067,1.00188172869148,0.989045741896759,7.08966043479275,0.659540473532281,11025,11786
11026,37.0000000000008,0.105248672268911,1.00695512605042,1.01363066026411,1.00266888355342,0.989028400960384,6.96174016945228,0.657263703083386,11026,11787
11027,37.9999999999998,0.107915770708282,1.00710445378151,1.0132981032413,1.00254270108043,0.988994584633854,6.80622155317589,0.652823803687467,11027,11788
11028,39.0000000000006,0.10753682472989,1.0069031092437,1.0135106362545,1.00305,0.988966318127251,6.90561154604812,0.64911256540499,11028,11789
11029,39.9999999999996,0.103694667466987,1.00729231692677,1.01323039615846,1.00284807923169,0.988357091236495,6.77455867700087,0.569124394548459,11029,11790
11030,41.0000000000004,0.105807188475391,1.00665543817527,1.01373212484994,1.00282984393758,0.988402343337334,7.00918957183327,0.575065748793452,11030,11791
11031,41.9999999999994,0.107957991596639,1.00687025210084,1.01332218487395,1.0032781512605,0.987753512605042,6.81748320736099,0.489877809359003,11031,11792
11032,43.0000000000002,0.104708099639855,1.00739412965186,1.01441554621849,1.00321412965186,0.987501987995198,7.32878813172029,0.456853998735864,11032,11793
11033,43.9999999999996,0.10315500120048,1.00692324129652,1.01353943577431,1.00271633853541,0.988386015606242,6.91907949639302,0.572922006676791,11033,11794
11034,45,0.102634039615846,1.00712839135654,1.01368919567827,1.00202,0.989183050420168,6.98911396098197,0.677568334411662,11034,11795
11035,46.0000000000008,0.104009302521011,1.00674453781513,1.01384570228091,1.00310325330132,0.988613039615845,7.06230348521781,0.602729022001011,11035,11796
11036,46.9999999999998,0.104562864345738,1.00639486194478,1.01381902761104,1.00325902761104,0.98789749939976,7.04982921024296,0.508782490868748,11036,11797
11037,48.0000000000006,0.10601099639856,1.00634843937575,1.01319078031212,1.00289,0.988464357743098,6.7560325260473,0.583207902331088,11037,11798
11038,48.9999999999996,0.102857705882355,1.00743470588235,1.01354352941177,1.00298352941177,0.989434882352941,6.92099386532492,0.710632494860637,11038,11799
11039,50.0000000000004,0.101546412965187,1.0066299759904,1.01447240096038,1.00207118847539,0.989054549819927,7.35537596533117,0.660696905846756,11039,11800
11040,50.9999999999994,0.106654020408158,1.00663734693878,1.01366591836735,1.00265979591837,0.989274591836736,6.97822844380124,0.689587223564446,11040,11801
11041,52.0000000000002,0.108341398559423,1.00680007202881,1.01425995198079,1.0026250060024,0.98864425090036,7.25602527035468,0.606826893576123,11041,11802
11042,52.9999999999996,0.104556925570228,1.00627254501801,1.01424927971189,1.00239527010804,0.988878745498199,7.25103443756772,0.637614756425751,11042,11803
