"age";"Ca";"Ti"
12820;4.04658936326811;1.80248522619504
12821;3.82087509281029;1.8522360849016
12822;3.88396648555562;1.85704588331603
12824;3.93960291590756;1.66435543987987
12825;4.25521573509906;1.70581152176192
12826;4.07279736861424;1.73602626334569
12827;4.08166642717503;1.91519670757143
12828;4.07887954199534;1.77441209550431
12830;3.89610483182103;1.81092352310578
12831;3.79096972556996;1.70251652286583
12832;3.47731794240557;1.85044311999554
12833;3.62828955458134;1.68881857780704
12834;3.30242628279037;1.80264858523035
12836;3.02095072041927;1.82113287746616
12837;3.22350452788362;1.96435082612228
12838;3.4205773828932;1.84965827984585
12839;3.53580644410889;1.74524855605307
12840;3.99877730335364;1.65083832031341
12842;4.02646729716757;1.6183069876392
12843;4.25613929545298;1.6391121805907
12844;4.29808389517167;1.73221647475834
12845;4.18663829779385;1.80537412022667
12846;3.95049961958498;1.77299516469774
12848;3.87997830565912;1.73502215686866
12849;3.86462071249905;1.98831026965226
12850;3.93882182936319;1.88903588360008
12851;3.80655043987017;1.89211932884114
12852;3.48559856372142;2.18048774852716
12854;3.47715828069402;2.27050128053093
12855;3.54569882628765;2.24451772205012
12856;3.50539016324059;2.01736046369497
12857;3.70862703356226;1.90879996202919
12858;3.92706848718415;1.8663086543031
12859;4.16502421459605;1.65101811359771
12861;4.23001255982045;1.66694866939903
12862;3.61533367958151;1.69688051650522
12863;3.55549035093179;1.59597729852205
12864;4.0378284283969;1.51748220875058
12865;4.18842524904156;1.76582347672481
12866;4.22221012842451;1.88331807271232
12867;3.71628273382248;1.79900582579969
12869;3.33955923492097;1.71775142825074
12870;3.58793266178614;1.70039517057242
12871;3.37529698968601;1.83803935183114
12872;2.90300670418444;1.67760020757336
12873;2.87926983270438;1.90689095027257
12874;2.92737772281379;2.02866744647534
12875;2.95347267925737;1.96005191188386
12876;3.12667014828562;1.89297434113167
12878;3.27916857641894;1.97694596997074
12879;3.51187592306734;1.95312526109161
12880;3.73081017259535;1.98409899948361
12881;3.82313663651871;1.98399314349821
12882;3.68125716202775;1.9487886467791
12883;3.6566189560765;1.90945922438218
12884;3.50406050843843;2.13483813121718
12886;3.7827567131379;1.95823726247985
12887;4.31305172981239;2.12343455112742
12888;4.75229623355426;2.0000504454976
12889;4.95529079849751;1.97306643275735
12890;5.13965843055458;2.20717032598169
12891;4.69118978146793;2.05869114695838
12892;4.22541233808143;2.10969602997124
12893;4.27115915167624;2.04034523118661
12894;4.32804859715253;2.07960409079834
12895;4.3530810175676;1.97008442766821
12896;4.48578603344595;1.95248001623034
12897;4.59311198610652;1.90859121352512
12898;4.57631605824093;1.92624986838365
12899;4.54502508372297;2.02825545030044
12900;4.52952605438891;2.08295577733849
12901;4.36916214127352;1.97089020426683
12902;4.13245652294226;2.0316898380078
12903;4.01569730419333;2.0956000861705
12904;3.43334914449308;1.93227025071306
12904;3.04622968838299;2.08469742604336
12905;3.8607126821741;2.02448913366328
12906;4.10784594161993;2.13988077944906
12907;3.83511588516214;2.04543325987892
12908;3.15846324516085;2.05455014896142
12909;3.2577906422153;1.95785767431175
12910;3.09336625748954;1.87396537716192
12911;3.46310194290424;1.88435773913032
12912;2.98533718595916;2.39248777636701
12913;4.02612029041013;2.10899908164328
12914;3.29866792123953;1.95298403645025
12915;2.757348155328;2.08603178380132
12916;2.97601198050442;2.00426038336189
12917;2.79945992095401;2.05325312002388
12918;2.60764902768486;2.15663690328881
12919;2.52171381447364;2.17792775325727
12920;2.41705571538715;2.27682196361423
12921;2.42814447495888;2.16389204568184
12922;2.59241612551673;2.19654421039697
12923;3.58217530142648;2.07074373398939
12924;3.03738446523273;2.0579014094178
12925;2.55243070070984;2.26778869869695
12925;2.64033494864364;2.0396143207611
12926;2.92744462092264;2.0265169223624
12927;2.72430839435035;2.1557580907387
12928;2.38761080345382;2.2393304476517
12929;2.26678694471871;2.36694826367204
12930;2.66521844489376;2.20618586869641
12931;2.48965492290584;2.29154652466261
12932;2.39993194614092;2.25082003666442
12933;2.60503948249956;2.18535881210641
12934;2.7334305612043;2.07944097111869
12935;2.81498210750185;2.04827137719422
12936;2.82216630370006;2.16765652117211
12937;3.10252919014233;2.23538559000197
12938;3.16800361314692;2.2377338806636
12939;2.98186545978514;2.1579285569543
12940;2.37158166409362;2.08939355194564
12941;2.69669655061863;2.25247260535169
12942;2.64641288239112;1.86865672042769
12943;2.61933762557408;2.1911789102209
12944;2.69906943776491;2.21431164076884
12945;2.45870967411689;2.24342576442439
12946;4.1885176531887;1.8088706057934
12947;2.81106126306657;2.17928302888292
12948;2.65685553187435;2.30194671592769
12948;2.64473187503336;2.23203259021115
12949;2.64155422654397;2.21094867306985
12950;2.9832613428816;2.22832247413823
12951;3.37677642193982;2.16396611435228
12952;3.15338993693684;2.04274357129862
12953;3.40568979154723;2.33927603455847
12954;3.67901621960182;2.14853714466969
12955;3.342163699352;1.8708958669814
12956;3.566178747992;2.10489648564583
12957;3.10468964434131;2.09957817868308
12958;3.34815302398237;2.14290249747841
12959;3.17978750683983;2.01610685559573
12960;3.23307501086498;2.10012854854066
12961;3.4752488149268;1.97744824984149
12962;3.79221885682451;1.85333002266504
12963;3.88210443991297;1.87720469529337
12964;3.86480976481705;2.10012740272724
12965;3.7818971314983;2.08193974669907
12966;3.64385724983621;1.85083855086132
12967;3.9068658631265;1.94018988547883
12968;4.24466354138355;1.73475108499316
12968;3.63242336021952;1.7413800226871
12969;3.60374900840724;1.91096882214961
12970;3.48657424408291;1.86259845277647
12971;3.2617798643683;1.8664307013632
12972;3.66897211925211;1.80738380786682
12973;4.24257809009965;1.47190691398914
12974;4.00570239417873;1.86937295632445
12975;4.80401544896258;1.61496927749242
12976;4.5405199268322;1.67724865203096
12977;4.02000807974137;1.94341948181855
12978;4.32130699139128;1.65962882785309
12979;4.21137645213614;1.65460109210008
12980;3.57531945993807;1.96545415793188
12981;3.38925872077916;1.86240612210992
12981;3.56301833041424;2.23868395910681
12982;3.27916570520318;2.17825665870447
12983;3.6073929426408;2.19521501486157
12984;3.91638578254956;2.01351518251875
12985;3.94188834314889;2.02753966848712
12986;3.78965980626379;2.05608963049464
12987;3.49145376156729;1.95437453960492
12988;3.51624683092741;2.06898306107505
12988;3.76312695853802;1.92752906975649
12989;4.40367472960917;1.69215800977995
12990;4.92676858135841;1.47206000125836
12991;4.93436046177396;1.40884062657259
12992;5.05744804831537;1.62152361310136
12993;4.89412015942369;1.48979768191324
12994;5.00684942424925;1.51940464839949
12995;4.86124215908883;1.51880875757353
12995;4.74680151208746;1.41168676393829
12996;4.85282668649357;1.49575925236266
12997;4.98865765941361;1.82036406972799
12998;4.75311421129695;1.46560611201184
12999;4.86339697668552;1.67951707908821
13000;4.85748711922788;1.67619933657153
13001;4.63769298904983;1.91886438311894
13002;4.33519335945651;1.80182844062327
13002;4.43023365550339;1.67875382404157
13003;4.1632480420936;1.79599807120615
13005;4.02074776299646;1.94924737391164
13007;3.94025157443022;1.97415693869104
13008;4.1881318453774;2.17142232093156
13010;4.2476359636103;2.04891262996104
13011;4.51955450787993;2.1296266281451
13011;4.50871325288676;1.98985394291605
13011;4.68818489206181;2.25056992697037
13011;4.49534571461807;2.13859661132955
13011;4.44950522172201;1.9451494053872
13011;4.57451399420436;2.07124031041795
13011;4.36686236406239;2.24699106163865
13011;4.361194827155;2.15893962091758
13011;4.28150862263229;2.41131058615099
13011;4.11642491295827;2.28589853959482
13011;4.0028890618143;2.40744355527199
13011;4.13987130966138;2.31566517851408
13011;3.6907790420134;2.55210339740628
13011;3.86296200414519;2.43170043170811
13011;3.48873144167836;2.5205658078827
13011;3.98053465834624;2.36690004237105
13011;4.39845123729089;2.40502376524765
13011;4.31393614305605;2.23339376152191
13011;4.5176511741103;2.1822593958821
13011;4.49778610519841;2.10196972717713
13011;4.26833530359546;2.12417064449798
13011;4.12630206421426;2.29602997154747
13011;3.77066936610717;2.49755323635864
13011;3.33619432658317;2.22840000345443
13011;3.55156991761272;2.59260040402015
13011;3.26760501508872;2.52621697001611
13011;3.27190984126787;1.9822181615394
13011;2.92301857438243;2.32354628904289
13011;3.14562871364217;2.5202109805224
13011;3.17041095041041;2.31379101460415
13011;3.4333997959663;2.23581937858286
13011;3.11146423919858;2.10504966261819
13011;3.1911951951844;2.29477337706081
13011;3.43573930364506;2.29653512088011
13011;3.73989680906571;2.49813485322955
13011;3.89838566376149;2.31163303415848
13011;3.87309142119533;2.1820849568092
13011;4.05066625060576;2.21143526106876
13011;4.11037054240862;2.4466923058732
